aerobiosis	value
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
9.40	1.572011506
9.40	1.800306435
9.74	2.186365823
23.58	3.629008845
23.58	3.369511102
33.51	4.475340872
33.51	4.256435591
47.73	4.465420471
47.88	4.525777253
47.92	4.324029315
47.92	4.338508963
68.00	5.336905393
71.69	5.213306553
71.69	5.008048367
87.00	5.708187526
90.41	5.982726865
90.41	5.983179572
90.69	5.690645539
94.50	5.632231405
95.00	5.897290431
96.50	5.422375062
97.00	6.008837613
97.00	6.225703343
97.00	5.949540217
99.00	5.886417276
100.00	5.744499879
100.00	5.844740318
110.00	6.007397681
110.00	5.73569243
110.00	5.532708113
110.00	5.670450786
