aerobiosis	value
0.00	0.021076666
0.00	0.020286781
0.00	0.020555556
0.00	0.021949462
0.00	0.020277481
9.40	0.024215247
9.40	0.020673635
9.74	0.023559182
23.58	0.027697442
23.58	0.026645118
33.51	0.030212469
33.51	0.030096051
47.73	0.043672403
47.88	0.043523677
47.92	0.046544305
47.92	0.043816631
68.00	0.054220925
71.69	0.054624592
71.69	0.056114072
87.00	0.06259022
90.41	0.062839748
90.41	0.061915125
90.69	0.065428018
94.50	0.067174205
95.00	0.06546049
96.50	0.066295884
97.00	0.063777778
97.00	0.065969803
97.00	0.066148724
99.00	0.067708877
100.00	0.067903533
100.00	0.069075573
110.00	0.072436185
110.00	0.069972752
110.00	0.074556373
110.00	0.069517544
