aerobiosis	mean	sd
0.00	0	0.000004202
0.00	0.000021107	0.000021107
6.77	0.00016808	0.0002101
9.63	0.000283635	0.00012606
13.10	0.000136565	0.00008404
16.53	0.00014707	0.00010505
19.43	0.000178585	0.00010516
23.57	0.000199595	0.00010505
28.55	0.00018909	0.00016808
33.51	0.000274391	0.000105535
35.27	0.00029414	0.0002101
40.00	0.0002618	0.0003146
40.30	0.00049368	0.00025
47.73	0.000221624	0.000116089
69.83	0.0006	0.0002
71.69	0.00060155	0.000284945
71.69	0.000695498	0.000137196
87.00	0.000685978	0.000369373
90.41	0.000622657	0.000327159
90.69	0.000685978	0.000369373
97.00	0.00063321	0.000316605
100.00	0.018046485	0.001794095
