aerobiosis	value
0.00	0.94845
0.00	0.91291
0.00	0.925
0.00	0.98773
0.00	0.91249
9.40	1.0897
9.40	0.93031
9.74	1.0602
23.58	1.2464
23.58	1.199
33.51	1.3596
33.51	1.3543
47.73	1.9653
47.88	1.9586
47.92	2.0945
47.92	1.9717
68.00	2.4399
71.69	2.4581
71.69	2.5251
87.00	2.8166
90.41	2.8278
90.41	2.7862
90.69	2.9443
94.50	3.0228
95.00	2.9457
96.50	2.9833
97.00	2.87
97.00	2.9686
97.00	2.9767
99.00	3.0469
100.00	3.0557
100.00	3.1084
110.00	3.2596
110.00	3.1488
110.00	3.355
110.00	3.1283
