aerobiosis	value
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
9.48	5.55555556
20.18	2.45068698
23.02	5.42168675
31.22	7.16043956
36.79	8.08022923
53.14	3.82243515
53.25	5.73750987
55.13	7.35458515
58.63	8.92857143
60.61	8.56557377
63.98	9.20324428
78.81	6.90705142
79.60	9.42000434
82.55	6.94014085
84.08	9.24032148
85.95	8.73603352
89.18	7.92988314
97.99	9.43396226
98.65	8.15957443
99.66	8.33676508
101.46	9.75590766
102.69	7.17939315
118.83	7.58258477
120.85	10.46585564
121.52	7.66531112
127.65	7.72357724
127.65	7.48005319
127.65	6.94269521
