aerobiosis	mean	sd
0.00	67.41925325	8.653084098
0.00	13.05407099	5.385250354
9.48	45.30415032	6.312917131
18.00	48.70016134	12.85695425
19.82	50.93552535	11.52030713
31.22	41.6725504	NaN
36.79	56.01826794	1.002300342
38.00	22.03155038	7.8177892
52.66	68.98212302	2.808556786
55.13	81.81032842	8.201195421
58.63	82.39249315	4.266851331
63.98	82.30769506	3.177162087
78.89	81.23059507	1.855184226
82.55	79.85336049	3.902927548
83.33	68.79549607	6.865901363
89.18	90.11594029	1.27917065
97.99	87.58688681	0.952402818
99.56	75.16495839	6.902056553
100.44	63.30988355	2.521966445
100.55	50.82380103	6.26273862
102.44	54.2853659	5.190320766
117.78	55.46341414	5.535266545
119.77	74.51974125	0.808583646
120.44	11.54551895	1.526516137
127.65	52.80137347	3.77708395
