aerobiosis	value
0.00	0.0192
0.00	0.017
0.00	0.015666667
0.00	0.015333333
0.00	0.017
0.00	0.015
0.00	0.017
0.00	0.019325
0.00	0.017075
0.00	0.01845
0.00	0.0217
9.48	0.0198
19.33	0.0313
19.96	0.03165
19.96	0.030225
20.00	0.037475
20.18	0.030025
23.02	0.02075
31.22	0.0284375
36.79	0.029083333
48.43	0.05334
50.00	0.043775
53.14	0.0525
53.25	0.04955
55.13	0.047708333
58.63	0.042
60.61	0.04575
63.98	0.043666667
78.48	0.055175
78.81	0.05375
79.60	0.057925
82.55	0.059166667
84.08	0.0625
85.95	0.049722222
89.18	0.0599
97.99	0.0636
98.65	0.063125
99.66	0.058975
101.46	0.069175
102.69	0.072675
118.83	0.070575
120.85	0.06775
121.52	0.06545
127.65	0.0615
127.65	0.062666667
127.65	0.066166667
