aerobiosis	mean	sd
0.00	0.000459204	3.53468E-05
0.00	0.000973947	4.7368E-05
9.48	0.000725559	0.000346077
18.00	0.000314314	8.17579E-05
19.82	0.00063367	0.000335803
31.22	0.000794916	NaN
38.00	0.000259334	3.59446E-05
52.66	0.000729967	0.000101466
55.13	0.000514128	0.000252442
78.89	0.000303331	2.64188E-05
82.55	0.000662857	0.000116479
83.33	0.000741394	0.000179838
97.99	0.000372964	1.24248E-05
99.56	0.000774793	0.000227117
100.44	0.000813256	0.000162546
100.55	0.000927861	0.000111896
102.44	0.00106978	5.06788E-05
117.78	0.00083173	0.000126723
119.77	0.000650179	6.0111E-05
120.44	0.002144553	3.10842E-05
127.65	0.002120253	0.000145779
