aerobiosis	mean	sd
0.00	0.000480477	6.64189E-05
0.00	0.00019565	9.85909E-05
9.48	0.000573111	0.000136762
18.00	0.000297633	7.57536E-05
19.82	0.000611818	5.61685E-05
31.22	0.000567934	NaN
38.00	7.72835E-05	4.39091E-05
52.66	0.001618223	1.30359E-05
55.13	0.002283886	0.000126152
78.89	0.001313706	4.54934E-05
82.55	0.002633152	0.000176845
83.33	0.001628489	0.000124961
97.99	0.002636651	0.000143245
99.56	0.002338103	0.000177737
100.44	0.001393283	0.000128808
100.55	0.000959766	0.00012475
102.44	0.001279192	0.000206516
117.78	0.001032507	7.3885E-05
119.77	0.001899058	9.49043E-05
120.44	0.000279976	3.77844E-05
127.65	0.002726872	0.000449325
