aerobiosis	value
0.00	0.384
0.00	0.34
0.00	0.313333333
0.00	0.306666667
0.00	0.34
0.00	0.3
0.00	0.34
0.00	0.3865
0.00	0.3415
0.00	0.369
0.00	0.434
9.48	0.396
19.33	0.626
19.96	0.633
19.96	0.6045
20.00	0.7495
20.18	0.6005
23.02	0.415
31.22	0.56875
36.79	0.581666667
48.43	1.0668
50.00	0.8755
53.14	1.05
53.25	0.991
55.13	0.954166667
58.63	0.84
60.61	0.915
63.98	0.873333333
78.48	1.1035
78.81	1.075
79.60	1.1585
82.55	1.183333333
84.08	1.25
85.95	0.994444444
89.18	1.198
97.99	1.272
98.65	1.2625
99.66	1.1795
101.46	1.3835
102.69	1.4535
118.83	1.4115
120.85	1.355
121.52	1.309
127.65	1.23
127.65	1.253333333
127.65	1.323333333
