aerobiosis	value
0.00	86.54513889
0.00	101.3176471
0.00	111.2191489
0.00	108.9130435
0.00	97.38431373
0.00	118.6755556
0.00	98.43823529
0.00	78.75158835
0.00	88.89467588
0.00	83.04750838
0.00	91.5228234
9.48	82.6969697
19.33	45.90050347
19.96	43.71357026
19.96	46.73766522
20.00	33.40794701
20.18	51.32321787
23.02	66.98473896
31.22	49.78637363
36.79	42.71633238
48.43	17.85672341
50.00	19.75308849
53.25	17.09303087
55.13	16.67633188
58.63	15.37777778
60.61	14.64189435
63.98	13.38625954
78.48	8.771242026
78.81	8.784173617
79.60	6.817724134
82.55	6.486760563
84.08	8.290627142
85.95	5.223687151
89.18	4.022259321
97.99	0.748427673
98.65	0.571573591
99.66	0.647808494
101.46	0.58521465
102.69	0.0381707
118.83	0.044637971
120.85	0.30467161
121.52	0.596757049
127.65	0
127.65	0
127.65	0
